[10000, 0.5]
[10026, 0.5062836624775583]
[10122, 0.5040505828887571]
[10280, 0.5021400778210117]
[10305, 0.49713731198447353]
[10176, 0.5020636792452831]
[10137, 0.5053763440860215]
[10139, 0.5111943978696124]
[10111, 0.5107308871526061]
[10038, 0.5056784219964137]
[10042, 0.5137422824138618]
[9960, 0.5091365461847389]
[9986, 0.513518926497096]
[9926, 0.5248841426556519]
[9841, 0.5336856010568032]
[9821, 0.5311068119336116]
[9763, 0.5323158865102939]
[9733, 0.5381691153806637]
[9912, 0.5398506860371267]
[9923, 0.5321979240149148]
[9954, 0.5392806911794253]
[9873, 0.5423883318140383]
[9910, 0.5476286579212917]
[10001, 0.5487451254874512]
[10024, 0.5576616121308858]
[9890, 0.5505561172901922]
[9931, 0.5497935756721377]
[9929, 0.551918622217746]
[9804, 0.5471236230110159]
[9859, 0.5525915407242113]
[10087, 0.555963120848617]
[10122, 0.5530527563722585]
[10007, 0.5622064554811632]
[9803, 0.5612567581352648]
[9845, 0.5602844083291011]
[9847, 0.5657560678379202]
[9851, 0.5555781138970662]
[9886, 0.5674691482905119]
[9802, 0.5591715976331361]
[9875, 0.5558481012658227]
[9705, 0.5569294178258629]
[9763, 0.5599713202908942]
[9678, 0.5543500723289936]
[9654, 0.5532421794074995]
[9674, 0.547963613810213]
[9749, 0.5505180018463433]
[9795, 0.5557937723328229]
[9913, 0.5577524462826592]
[9847, 0.5534680613384787]
[9899, 0.5546014748964542]
[9840, 0.5557926829268293]
[9766, 0.5645095228343232]
[9844, 0.5713124746038196]
[9808, 0.5697389885807504]
[9821, 0.5690866510538641]
[9874, 0.5619809600972251]
[9787, 0.5624808419331767]
[9640, 0.5701244813278008]
[9745, 0.5788609543355567]
[9657, 0.5903489696593145]
[9571, 0.584578413958834]
[9565, 0.5834814427600628]
[9581, 0.5809414466130884]
[9542, 0.5852022636763781]
[9443, 0.585407179921635]
[9212, 0.5821754233608337]
[9190, 0.583025027203482]
[9182, 0.5903942496188195]
[9156, 0.5969855832241153]
[9094, 0.6007257532438971]
[9004, 0.6038427365615282]
[8930, 0.6014557670772677]
[8959, 0.5998437325594375]
[8975, 0.6100278551532033]
[8978, 0.6057028291378926]
[8965, 0.6055772448410485]
